,issue_key1,issue_key2,time_add_to_sprint,created,from_string,to_string,field,if_before
0,CART-110,,2017-05-08 00:49:30,,,,,
1,CART-120,,2017-01-03 09:20:02,,,,,
2,CART-121,,2016-12-19 08:14:46,,,,,
3,CART-122,,2016-12-19 08:58:46,,,,,
4,CART-123,,2016-12-19 08:16:08,,,,,
5,CART-124,,2016-12-19 08:17:14,,,,,
6,CART-125,,2016-12-05 09:18:35,,,,,
7,CART-127,,2017-03-24 23:09:53,,,,,
8,CART-13,,2016-10-11 02:17:19,,,,,
9,CART-131,,2017-01-30 08:22:40,,,,,
10,CART-134,,2017-04-24 08:08:31,,,,,
11,CART-136,,2017-01-17 08:23:23,,,,,
12,CART-139,,2017-02-13 08:11:21,,,,,
13,CART-144,,2017-03-13 08:30:58,,,,,
14,CART-15,,2016-10-13 11:10:08,,,,,
15,CART-169,,2017-03-13 08:30:58,,,,,
16,CART-174,,2017-03-13 08:30:58,,,,,
17,CART-179,,2017-03-24 23:25:22,,,,,
18,CART-20,,2016-10-17 15:11:48,,,,,
19,CART-224,,2017-10-23 12:39:03,,,,,
20,CART-225,,2018-01-08 14:10:56,,,,,
21,CART-24,,2016-11-15 14:21:35,,,,,
22,CART-252,,2018-01-16 12:41:16,,,,,
23,CART-282,,2018-03-09 10:21:35,,,,,
24,CART-286,,2019-03-08 11:42:40,,,,,
25,CART-298,,2017-10-09 08:45:20,,,,,
26,CART-306,,2017-10-23 12:52:56,,,,,
27,CART-31,,2016-11-15 14:07:20,,,,,
28,CART-321,,2017-10-23 12:50:29,,,,,
29,CART-322,,2017-10-23 12:50:29,,,,,
30,CART-323,,2017-10-23 12:50:30,,,,,
31,CART-324,,2017-10-23 12:50:30,,,,,
32,CART-325,,2017-10-23 12:50:30,,,,,
33,CART-327,,2017-10-23 12:50:30,,,,,
34,CART-328,,2017-10-23 12:46:38,,,,,
35,CART-329,,2017-10-23 12:48:17,,,,,
36,CART-330,,2017-10-23 12:48:42,,,,,
37,CART-331,,2017-10-24 09:21:41,,,,,
38,CART-333,,2018-07-02 11:09:35,,,,,
39,CART-342,,2017-11-06 12:45:04,,,,,
40,CART-343,,2017-11-06 12:46:39,,,,,
41,CART-354,,2017-11-20 12:35:25,,,,,
42,CART-355,,2017-11-20 12:35:25,,,,,
43,CART-365,,2017-12-05 12:06:44,,,,,
44,CART-366,,2017-12-05 12:07:49,,,,,
45,CART-367,,2017-12-05 12:07:28,,,,,
46,CART-368,,2017-12-05 12:07:50,,,,,
47,CART-369,,2017-12-05 12:07:50,,,,,
48,CART-375,,2018-01-08 14:09:43,,,,,
49,CART-377,,2018-01-16 12:39:39,,,,,
50,CART-378,,2018-01-16 12:42:24,,,,,
51,CART-379,,2018-01-16 12:42:51,,,,,
52,CART-380,,2018-04-09 14:57:02,,,,,
53,CART-381,,2018-01-29 13:26:00,,,,,
54,CART-382,,2018-01-29 13:20:44,,,,,
55,CART-385,,2018-01-25 19:55:40,,,,,
56,CART-387,,2018-01-26 17:18:15,,,,,
57,CART-388,,2018-01-29 13:20:57,,,,,
58,CART-390,,2018-01-29 14:42:35,,,,,
59,CART-391,,2018-01-29 14:45:55,,,,,
60,CART-392,,2018-01-29 14:45:55,,,,,
61,CART-394,,2018-02-05 11:11:47,,,,,
62,CART-395,,2018-02-06 11:16:13,,,,,
63,CART-399,,2018-02-12 12:54:58,,,,,
64,CART-40,,2016-10-24 13:25:34,,,,,
65,CART-407,,2018-07-30 11:34:56,,,,,
66,CART-409,,2018-02-26 10:20:53,,,,,
67,CART-410,,2018-02-26 10:17:25,,,,,
68,CART-414,,2018-03-05 11:46:42,,,,,
69,CART-423,,2018-03-09 10:12:19,,,,,
70,CART-424,,2018-03-09 09:51:57,,,,,
71,CART-428,,2018-03-15 10:02:53,,,,,
72,CART-430,,2018-03-20 10:27:55,,,,,
73,CART-432,,2018-03-26 10:15:46,,,,,
74,CART-433,,2018-03-26 10:18:55,,,,,
75,CART-434,,2018-03-28 10:15:54,,,,,
76,CART-435,,2018-04-09 14:46:15,,,,,
77,CART-436,,2018-04-03 06:46:02,,,,,
78,CART-438,,2018-04-09 14:45:28,,,,,
79,CART-440,,2018-04-23 10:31:09,,,,,
80,CART-441,,2018-04-23 10:35:12,,,,,
81,CART-442,,2018-04-23 10:36:24,,,,,
82,CART-443,,2018-04-23 10:37:44,,,,,
83,CART-444,,2018-04-23 13:37:39,,,,,
84,CART-445,,2018-05-03 14:23:51,,,,,
85,CART-446,,2018-05-07 10:26:43,,,,,
