,issue_key,project_key,author,id,created,body,chronological_number,clean_comment
0,CONJ-125,CONJ,Massimo Siani,66558,2014-12-10 13:53:59,"Hi Lennart,
not sure whether you already tried, but adding
{code}
statement.setFetchSize(Integer.MIN_VALUE);
{code}
decreases the memory need by a factor of 100 (uses the stream ResultSet feature). Maybe it doesn't solve your problem, though.

In any case, I'm investigating how to decrease the memory need for CachedResultSet objects. Let me share that, as far as I was able to understand, it seems that the problem is due to the large number of MySQLValueObject objects. I guess it's worth spending some time to understand if we can avoid such object.

Any comment is very welcomed!",1,"Hi Lennart,
not sure whether you already tried, but adding
{code}
statement.setFetchSize(Integer.MIN_VALUE);
{code}
decreases the memory need by a factor of 100 (uses the stream ResultSet feature). Maybe it doesn't solve your problem, though.

In any case, I'm investigating how to decrease the memory need for CachedResultSet objects. Let me share that, as far as I was able to understand, it seems that the problem is due to the large number of MySQLValueObject objects. I guess it's worth spending some time to understand if we can avoid such object.

Any comment is very welcomed!"
1,CONJ-125,CONJ,Lennart Schedin,66562,2014-12-11 14:02:34,"Yes I know about the ResultSet stream feature (setFetchSize(Integer.MIN_VALUE)). But I did not get that to work (because of either a bug in my application code or in MariaDB JDBC). I will write a ticket if I find any specific bug in MariaDB JDBC.

For the specific problem with CachedResultSet I currently don't have any implementation proposal. The only thing I have a high level idea: only cache the binary data received for each row. Then as the application code calls the resultSet.next() method each binary data row is converted into the MySQLValueObject-objects data structure. Each subsequent call to resultSet.next() can overwrite the previous  MySQLValueObject-objects data structure. With this idea only one row at a time would be “inflated” into Java objects at a time. All the other rows could remain in a byte array. Alternative solution is to inflate only 1, 5, 10, 100 or 1000 (etc) rows at a time.

I suspect that it could take same time and will require a large refactoring of the code. I would estimate the risk of fixing this ticket to be high (it may cause other bugs).
",2,"Yes I know about the ResultSet stream feature (setFetchSize(Integer.MIN_VALUE)). But I did not get that to work (because of either a bug in my application code or in MariaDB JDBC). I will write a ticket if I find any specific bug in MariaDB JDBC.

For the specific problem with CachedResultSet I currently don't have any implementation proposal. The only thing I have a high level idea: only cache the binary data received for each row. Then as the application code calls the resultSet.next() method each binary data row is converted into the MySQLValueObject-objects data structure. Each subsequent call to resultSet.next() can overwrite the previous  MySQLValueObject-objects data structure. With this idea only one row at a time would be “inflated” into Java objects at a time. All the other rows could remain in a byte array. Alternative solution is to inflate only 1, 5, 10, 100 or 1000 (etc) rows at a time.

I suspect that it could take same time and will require a large refactoring of the code. I would estimate the risk of fixing this ticket to be high (it may cause other bugs).
"
2,CONJ-125,CONJ,Massimo Siani,66563,2014-12-11 14:20:22,"Could you refactor your code where you can't use the stream feature so that we can add a test case for your real case?
Would you be interested in that?",3,"Could you refactor your code where you can't use the stream feature so that we can add a test case for your real case?
Would you be interested in that?"
3,CONJ-125,CONJ,Diego Dupin,82398,2016-03-31 07:24:49,test result show now 26m footprint with version1.4.0,4,test result show now 26m footprint with version1.4.0
4,CONJ-141,CONJ,Diego Dupin,73848,2015-07-22 19:39:21,"adding test case that handle different possibilities : 

{code:java}
/**
     * CONJ-141 : Batch Statement Rewrite: Support for ON DUPLICATE KEY
     * @throws SQLException
     */
    @Test
    public void rewriteBatchedStatementsWithQueryFirstAndLAst() throws SQLException {
        Properties props = new Properties();
        props.setProperty(""rewriteBatchedStatements"", ""true"");
        Connection tmpConnection = null;
        try {
            tmpConnection = openNewConnection(connURI, props);
            Statement st = tmpConnection.createStatement();
            st.executeUpdate(""drop table if exists t3_dupp"");
            st.executeUpdate(""create table t3_dupp(col1 int, pkey int NOT NULL, col2 int, col3 int, col4 int, PRIMARY KEY (`pkey`))"");

            PreparedStatement sqlInsert = connection.prepareStatement(""INSERT INTO t3_dupp(col1, pkey,col2,col3,col4) VALUES (9, ?, 5, ?, 8) ON DUPLICATE KEY UPDATE pkey=pkey+10"");
            sqlInsert.setInt(1, 1);
            sqlInsert.setInt(2, 2);
            sqlInsert.addBatch();

            sqlInsert.setInt(1, 2);
            sqlInsert.setInt(2, 5);
            sqlInsert.addBatch();

            sqlInsert.setInt(1, 7);
            sqlInsert.setInt(2, 6);
            sqlInsert.addBatch();
            sqlInsert.executeBatch();
        } finally {
            if (tmpConnection != null) tmpConnection.close();
        }
    }
{code}

Resulting query send to database : 
INSERT INTO t3_dupp(col1, pkey,col2,col3,col4) VALUES (9, 1, 5, 2, 8),(9, 2, 5, 5, 8),(9, 7, 5, 6, 8) ON DUPLICATE KEY UPDATE pkey=pkey+10

",1,"adding test case that handle different possibilities : 

{code:java}
/**
     * CONJ-141 : Batch Statement Rewrite: Support for ON DUPLICATE KEY
     * @throws SQLException
     */
    @Test
    public void rewriteBatchedStatementsWithQueryFirstAndLAst() throws SQLException {
        Properties props = new Properties();
        props.setProperty(""rewriteBatchedStatements"", ""true"");
        Connection tmpConnection = null;
        try {
            tmpConnection = openNewConnection(connURI, props);
            Statement st = tmpConnection.createStatement();
            st.executeUpdate(""drop table if exists t3_dupp"");
            st.executeUpdate(""create table t3_dupp(col1 int, pkey int NOT NULL, col2 int, col3 int, col4 int, PRIMARY KEY (`pkey`))"");

            PreparedStatement sqlInsert = connection.prepareStatement(""INSERT INTO t3_dupp(col1, pkey,col2,col3,col4) VALUES (9, ?, 5, ?, 8) ON DUPLICATE KEY UPDATE pkey=pkey+10"");
            sqlInsert.setInt(1, 1);
            sqlInsert.setInt(2, 2);
            sqlInsert.addBatch();

            sqlInsert.setInt(1, 2);
            sqlInsert.setInt(2, 5);
            sqlInsert.addBatch();

            sqlInsert.setInt(1, 7);
            sqlInsert.setInt(2, 6);
            sqlInsert.addBatch();
            sqlInsert.executeBatch();
        } finally {
            if (tmpConnection != null) tmpConnection.close();
        }
    }
{code}

Resulting query send to database : 
INSERT INTO t3_dupp(col1, pkey,col2,col3,col4) VALUES (9, 1, 5, 2, 8),(9, 2, 5, 5, 8),(9, 7, 5, 6, 8) ON DUPLICATE KEY UPDATE pkey=pkey+10

"
5,CONJ-145,CONJ,Diego Dupin,76115,2015-09-21 17:06:13,"functionnality added in the next version 1.3.0 to complete failover implementation.
",1,"functionnality added in the next version 1.3.0 to complete failover implementation.
"
6,CONJ-163,CONJ,Diego Dupin,73363,2015-07-11 15:41:27,"
getColumnLabel must be your solution : 

{code:java}
select col_1 as col_A from test_table;
:  getColumnName return col_1
:  getColumnLabel return col_A
{code}

JDBC-4.0 indicate that there is 2 differents things : 
- getColumnName will have the physical name
- getColumnLabel will be the alias if defined, the physical name if not. 

Does it not answer your needs ?
",1,"
getColumnLabel must be your solution : 

{code:java}
select col_1 as col_A from test_table;
:  getColumnName return col_1
:  getColumnLabel return col_A
{code}

JDBC-4.0 indicate that there is 2 differents things : 
- getColumnName will have the physical name
- getColumnLabel will be the alias if defined, the physical name if not. 

Does it not answer your needs ?
"
7,CONJ-163,CONJ,seung hoon yoo,73382,2015-07-13 03:27:20,"getColumnLabel is solution. 
I agree,
BUT,
1. mysql client supports useOldAliasMetadataBehavior option about column alias
2. Some package solution application code was used getColumnName instead of getColumnLagel
   (using with useOldAliasMetadataBehavior=true)

My situation some package developer says,
"" Our package run in mysql envirment(useOldAliasMetadataBehavior=ture), but mariadb does not""
so I want mariadb support more (old) package or appliation.
and it's more Compatible with mysql feature.

",2,"getColumnLabel is solution. 
I agree,
BUT,
1. mysql client supports useOldAliasMetadataBehavior option about column alias
2. Some package solution application code was used getColumnName instead of getColumnLagel
   (using with useOldAliasMetadataBehavior=true)

My situation some package developer says,
"" Our package run in mysql envirment(useOldAliasMetadataBehavior=ture), but mariadb does not""
so I want mariadb support more (old) package or appliation.
and it's more Compatible with mysql feature.

"
8,CONJ-163,CONJ,Diego Dupin,73843,2015-07-22 16:44:16,done as requested for mysql compatibility,3,done as requested for mysql compatibility
9,CONJ-22,CONJ,Vladislav Vaintroub,29869,2013-02-06 23:58:04,"This is a feature request, a rather big feature (i.e connector-big , not server-big:)

The driver documentation https://kb.askmonty.org/en/about-the-mariadb-java-client/  lists all supported parameters and also states
""The driver only uses text protocol to communicate with the database. Prepared statements (parameter substitution) is handled by the driver, on the client side.""

This is basically what  this bug is all about.  The only unique feature that server side prepared statement allows is possibility to get result set metadata of the prepared statement without execution (CONJ-21)",1,"This is a feature request, a rather big feature (i.e connector-big , not server-big:)

The driver documentation URL  lists all supported parameters and also states
""The driver only uses text protocol to communicate with the database. Prepared statements (parameter substitution) is handled by the driver, on the client side.""

This is basically what  this bug is all about.  The only unique feature that server side prepared statement allows is possibility to get result set metadata of the prepared statement without execution (CONJ-21)"
