Name,Number of Issues (Article) - Total,Number of Issues (Actual) - Total,Delta,No Bugs - Amount,No Bugs - %,Resolution - Amount,Resolution - %,Status - Amount,Status - %,ResolutionDate - Amount,ResolutionDate - %,Contains Sprints - Amount,Contains Sprints - %,optional PR - Amount,optional PR - %,full Query (without PR) - Amount,full Query (without PR) - %,full Query without Sprints (without PR) - Amount,full Query without Sprints (without PR) - %,full Query (with PR) - Amount,full Query (with PR) - %,full Query without Sprints (with PR) - Amount,full Query without Sprints (with PR) - %
Apache,1015000,1063209,48209,527084,49.574824893318244,699395,65.7815161459318,888700,83.5865761106236,886933,83.42038112920413,14702,1.3827949161453674,60840,5.722299190469607,7823,0.7357913636923691,354275,33.32129430808054,1873,0.1761647992069292,32942,3.0983560146688
Hyperledger,28000,25886,-2114,18672,72.13165417600247,19312,74.60403306806768,23670,91.43938808622421,23636,91.30804295758325,6869,26.535579077493626,3368,13.010893919493162,4819,18.616240438847253,13861,53.54631847330604,1028,3.971258595379742,1671,6.455226763501507
IntelDAOS,9000,12487,3487,7245,58.020341154800995,9240,73.9969568351085,11466,91.82349643629375,11481,91.94362136622087,2282,18.275006006246496,3902,31.24849843837591,1664,13.325858893248979,5515,44.165932569872666,273,2.1862737246736605,1304,10.442860574997997
JFrog,16000,15921,-79,6966,43.75353306953081,6940,43.590226744551224,11073,69.5496514038063,10775,67.67790967904025,0,0.0,397,2.4935619621883047,0,0.0,2788,17.511462847811067,0,0.0,67,0.42082783744739655
Jira,275000,296022,21022,153020,51.69210396524583,84458,28.530987561735277,232764,78.63064231712508,231860,78.3252596090831,9537,3.221720007296755,1116,0.3769990068305734,2553,0.8624359000344569,29327,9.907033936666869,12,0.004053752761619069,244,0.08242630615292107
JiraEcosystem,42000,46058,4058,23474,50.96617308610882,628,1.3634981979243563,39270,85.2620608797603,39260,85.24034912501628,5839,12.67749359503235,225,0.4885144817404143,17,0.0369099830648313,333,0.7230014329758131,0,0.0,1,0.002171175474401841
MariaDB,30000,40389,10389,10756,26.63101339473619,22410,55.48540444180346,30946,76.61987174725792,30842,76.3623758944267,4951,12.258288147763004,4628,11.45856545098913,1979,4.8998489687786275,5985,14.818391146104137,145,0.3590086409665998,750,1.8569412463789645
Mojang,421000,442470,21470,0,0.0,22712,5.133003367459941,427384,96.59050331095894,427384,96.59050331095894,0,0.0,851,0.19232942346373766,0,0.0,0,0.0,0,0.0,0,0.0
MongoDB,137000,164009,27009,110015,67.07863592851612,102648,62.58680926046741,147857,90.1517599643922,146932,89.58776652500778,63025,38.42776920778738,83425,50.866111006103324,35007,21.344560359492466,68176,41.56845051186215,28902,17.622203659555268,49635,30.263583096049608
Qt,147000,168386,21386,50616,30.059506134714287,82567,49.0343615264927,136819,81.2531920705997,137869,81.87675935053983,10611,6.3015927689950475,2750,1.6331523998432174,5986,3.554927369258727,27165,16.132576342451273,30,0.017816207998289642,280,0.1662846079840367
RedHat,353000,416726,63726,243033,58.31961528678316,283743,68.08862417991678,345232,82.84388303105638,361272,86.69293492606653,84068,20.17344730110432,62018,14.882200774609695,49999,11.998051477469609,157554,37.807576201148954,10129,2.430613880583405,23955,5.748381430484299
Sakai,51000,52524,1524,16774,31.93587693244993,32669,62.19823318863757,41732,79.45320234559439,45877,87.34483283832152,40,0.0761556621734826,2502,4.763536668951336,25,0.04759728885842662,8655,16.478181402787296,1,0.001903891554337065,319,0.6073414058335237
SecondLife,2000,1888,-112,1684,89.19491525423729,978,51.80084745762712,1568,83.05084745762711,1638,86.75847457627118,3,0.15889830508474576,4,0.211864406779661,1,0.05296610169491525,866,45.86864406779661,0,0.0,0,0.0
Sonatype,87000,100980,13980,94010,93.0976430976431,74136,73.41651812240048,99451,98.48583877995642,96746,95.80709051297286,1607,1.591404238463062,20485,20.286195286195287,473,0.4684095860566449,70331,69.64844523668053,298,0.29510794216676567,16437,16.277480689245394
Spring,69000,1537,-67463,948,61.67859466493169,1187,77.22836694860118,1320,85.88158750813272,1320,85.88158750813272,0,0.0,24,1.5614834092387768,0,0.0,719,46.779440468445024,0,0.0,10,0.6506180871828237
Total,2682000,2848492,166492,1264297,47.14008202833706,1443023,53.80398956002983,2439252,90.9489932885906,2453825,91.49235645041014,203534,7.588888888888889,246535,9.19220730797912,110346,4.114317673378076,745550,27.79828486204325,42691,1.5917598806860551,127615,4.758202833706189
