project_key,usability_label,num_topics,feature_importance,accuracy_rf,confusion_matrix_rf,classification_report_rf,area_under_pre_recall_curve_rf,avg_precision_rf,area_under_roc_curve_rf,y_pred_rf,precision_rf,recall_rf,thresholds_rf,y_test,features
Apache,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.5413100965026829,0.18995685460727604,0.5420512281132313,[0 0 0 ... 0 0 0],[0.17666232 0.19199346 1.        ],[1.         0.86715867 0.        ],[0.06866931 0.09870066],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.5413100965026829,0.18995685460727604,0.5420512281132313,[0 0 0 ... 0 0 0],[0.17666232 0.19199346 1.        ],[1.         0.86715867 0.        ],[0.06866931 0.09870066],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.2625826029786652,0.18502727383449866,0.5268878935820237,[0 0 0 ... 0 0 0],[0.17666232 0.18430792 0.19157088 1.        ],[1.         0.91881919 0.18450185 0.        ],[0.05894163 0.09816011 0.11380415],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.2625826029786652,0.18502727383449866,0.5268878935820237,[0 0 0 ... 0 0 0],[0.17666232 0.18430792 0.19157088 1.        ],[1.         0.91881919 0.18450185 0.        ],[0.05894163 0.09816011 0.11380415],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.2519595076052939,0.18273517064819175,0.5197123348905698,[0 0 0 ... 0 0 0],[0.17666232 0.17751479 0.18289786 0.18672199 1.        ],[1.         0.99630996 0.85239852 0.16605166 0.        ],[0.02950573 0.08282396 0.09711686 0.1116295 ],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.2519595076052939,0.18273517064819175,0.5197123348905698,[0 0 0 ... 0 0 0],[0.17666232 0.17751479 0.18289786 0.18672199 1.        ],[1.         0.99630996 0.85239852 0.16605166 0.        ],[0.02950573 0.08282396 0.09711686 0.1116295 ],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.23441747575152055,0.17021117844437794,0.4782951036161193,[0 0 0 ... 0 0 0],[0.17666232 0.17697368 0.17077176 0.17051071 0.15942029 1.        ],[1.         0.99261993 0.76752768 0.76383764 0.16236162 0.        ],[0.0383474  0.08577366 0.08785114 0.09651375 0.10827561],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.23441747575152055,0.17021117844437794,0.4782951036161193,[0 0 0 ... 0 0 0],[0.17666232 0.17697368 0.17077176 0.17051071 0.15942029 1.        ],[1.         0.99261993 0.76752768 0.76383764 0.16236162 0.        ],[0.0383474  0.08577366 0.08785114 0.09651375 0.10827561],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.3771167634873824,0.1809514463393525,0.5151122057538866,[0 0 0 ... 0 0 0],"[0.17666232 0.18356164 0.18269896 0.19273302 0.19347134 0.16990921
 1.        ]","[1.         0.98892989 0.97416974 0.900369   0.89667897 0.48339483
 0.        ]",[0.04685694 0.05047015 0.07134572 0.07412577 0.10043903 0.10278233],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.3771167634873824,0.1809514463393525,0.5151122057538866,[0 0 0 ... 0 0 0],"[0.17666232 0.18356164 0.18269896 0.19273302 0.19347134 0.16990921
 1.        ]","[1.         0.98892989 0.97416974 0.900369   0.89667897 0.48339483
 0.        ]",[0.04685694 0.05047015 0.07134572 0.07412577 0.10043903 0.10278233],"0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
Apache,is_change_text_num_words_5,7,"Dominant_Topic    1.0
dtype: float64",0.8233376792698827,"[[1263    0]
 [ 271    0]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90      1263
           1       0.00      0.00      0.00       271

    accuracy                           0.82      1534
   macro avg       0.41      0.50      0.45      1534
weighted avg       0.68      0.82      0.74      1534
",0.15664464509370235,0.16401720679379717,0.4541258001653651,[0 0 0 ... 0 0 0],"[0.17666232 0.17716535 0.16680498 0.13988095 0.13826367 0.06086957
 0.16       1.        ]","[1.         0.99630996 0.74169742 0.17343173 0.15867159 0.02583026
 0.01476015 0.        ]","[0.02530428 0.08969182 0.09426727 0.09785852 0.10229933 0.11072524
 0.12654681]","0       0
1       0
2       0
3       0
4       0
       ..
1529    0
1530    0
1531    0
1532    0
1533    0
Name: usability_label, Length: 1534, dtype: int64",only topic model one hot
