project_key,usability_label,num_topics,feature_importance,accuracy_rf,confusion_matrix_rf,classification_report_rf,area_under_pre_recall_curve_rf,avg_precision_rf,area_under_roc_curve_rf,y_pred_rf,precision_rf,recall_rf,thresholds_rf,y_test,features
IntelDAOS,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.23896973896973897,0.1395818895818896,0.39618122091431696,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.09459459 1.        ],[1.         0.26923077 0.        ],[0.12054188 0.12894637],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.23896973896973897,0.1395818895818896,0.39618122091431696,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.09459459 1.        ],[1.         0.26923077 0.        ],[0.12054188 0.12894637],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.1892813866498077,0.14588171167118535,0.42533534081576785,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.09259259 0.10526316 1.        ],[1.         0.19230769 0.15384615 0.        ],[0.11116714 0.13414144 0.13464043],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.1892813866498077,0.14588171167118535,0.42533534081576785,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.09259259 0.10526316 1.        ],[1.         0.19230769 0.15384615 0.        ],[0.11116714 0.13414144 0.13464043],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.30240599257259454,0.18210439751771554,0.5246372844237612,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.15441176 0.16153846 0.23880597 1.        ],[1.         0.40384615 0.40384615 0.30769231 0.        ],[0.10019139 0.11328758 0.1381231  0.16203504],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.30240599257259454,0.18210439751771554,0.5246372844237612,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.15441176 0.16153846 0.23880597 1.        ],[1.         0.40384615 0.40384615 0.30769231 0.        ],[0.10019139 0.11328758 0.1381231  0.16203504],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.20172405538992078,0.1626049595400557,0.5267930468108404,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.159375   0.16666667 0.17142857 0.11538462 1.        ],[1.         0.98076923 0.96153846 0.57692308 0.11538462 0.        ],[0.1012743  0.11858557 0.12177845 0.12658852 0.15166942],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.20172405538992078,0.1626049595400557,0.5267930468108404,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",[0.15615616 0.159375   0.16666667 0.17142857 0.11538462 1.        ],[1.         0.98076923 0.96153846 0.57692308 0.11538462 0.        ],[0.1012743  0.11858557 0.12177845 0.12658852 0.15166942],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.22616350161790444,0.18633183691306537,0.5844511360525595,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0.15615616 0.16943522 0.17832168 0.17910448 0.1875     0.25
 1.        ]","[1.         0.98076923 0.98076923 0.92307692 0.34615385 0.07692308
 0.        ]",[0.1059694  0.11532651 0.12447831 0.12598024 0.13112524 0.16566696],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
IntelDAOS,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.8438438438438438,"[[281   0]
 [ 52   0]]","              precision    recall  f1-score   support

           0       0.84      1.00      0.92       281
           1       0.00      0.00      0.00        52

    accuracy                           0.84       333
   macro avg       0.42      0.50      0.46       333
weighted avg       0.71      0.84      0.77       333
",0.22616350161790444,0.18633183691306537,0.5844511360525595,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0.15615616 0.16943522 0.17832168 0.17910448 0.1875     0.25
 1.        ]","[1.         0.98076923 0.98076923 0.92307692 0.34615385 0.07692308
 0.        ]",[0.1059694  0.11532651 0.12447831 0.12598024 0.13112524 0.16566696],"0      0
1      0
2      0
3      0
4      0
      ..
328    0
329    0
330    0
331    0
332    0
Name: usability_label, Length: 333, dtype: int64",only topic model one hot
