project_key,usability_label,num_topics,feature_importance,accuracy_rf,confusion_matrix_rf,classification_report_rf,area_under_pre_recall_curve_rf,avg_precision_rf,area_under_roc_curve_rf,y_pred_rf,precision_rf,recall_rf,thresholds_rf,y_test,features
Qt,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.13386873604102228,0.06872711179133792,0.4830896070289462,[0 0 0 ... 0 0 0],[0.07055961 0.05829596 1.        ],[1.         0.14942529 0.        ],[0.10237955 0.11397094],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,2,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.13386873604102228,0.06872711179133792,0.4830896070289462,[0 0 0 ... 0 0 0],[0.07055961 0.05829596 1.        ],[1.         0.14942529 0.        ],[0.10237955 0.11397094],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.10964082726052357,0.06977409727461123,0.4946741289041343,[0 0 0 ... 0 0 0],[0.07055961 0.07068607 0.0610687  1.        ],[1.         0.7816092  0.09195402 0.        ],[0.09207749 0.10119107 0.13528632],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,3,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.10964082726052357,0.06977409727461123,0.4946741289041343,[0 0 0 ... 0 0 0],[0.07055961 0.07068607 0.0610687  1.        ],[1.         0.7816092  0.09195402 0.        ],[0.09207749 0.10119107 0.13528632],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.09726000642562495,0.07140841580804541,0.5073619385769593,[0 0 0 ... 0 0 0],[0.07055961 0.07162534 0.07205624 0.06666667 1.        ],[1.         0.89655172 0.47126437 0.05747126 0.        ],[0.08553513 0.09257557 0.10274988 0.16220611],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,4,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.09726000642562495,0.07140841580804541,0.5073619385769593,[0 0 0 ... 0 0 0],[0.07055961 0.07162534 0.07205624 0.06666667 1.        ],[1.         0.89655172 0.47126437 0.05747126 0.        ],[0.08553513 0.09257557 0.10274988 0.16220611],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.07777424354388837,0.07073453149824678,0.5002407173376663,[0 0 0 ... 0 0 0],[0.07055961 0.07236269 0.0729443  0.05288462 0.08       1.        ],[1.         0.95402299 0.63218391 0.12643678 0.02298851 0.        ],[0.0853021  0.08619752 0.102907   0.1175188  0.27571569],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,5,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.07777424354388837,0.07073453149824678,0.5002407173376663,[0 0 0 ... 0 0 0],[0.07055961 0.07236269 0.0729443  0.05288462 0.08       1.        ],[1.         0.95402299 0.63218391 0.12643678 0.02298851 0.        ],[0.0853021  0.08619752 0.102907   0.1175188  0.27571569],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.08102810786579552,0.0730745619884907,0.5154510441114522,[0 0 0 ... 0 0 0],"[0.07055961 0.07568807 0.07941176 0.05965909 0.0625     0.10526316
 1.        ]","[1.         0.75862069 0.62068966 0.24137931 0.03448276 0.02298851
 0.        ]",[0.07885418 0.08843128 0.10403151 0.11300712 0.15373618 0.22670206],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
Qt,is_change_text_num_words_5,6,"Dominant_Topic    1.0
dtype: float64",0.9294403892944039,"[[1146    0]
 [  87    0]]","              precision    recall  f1-score   support

           0       0.93      1.00      0.96      1146
           1       0.00      0.00      0.00        87

    accuracy                           0.93      1233
   macro avg       0.46      0.50      0.48      1233
weighted avg       0.86      0.93      0.90      1233
",0.08102810786579552,0.0730745619884907,0.5154510441114522,[0 0 0 ... 0 0 0],"[0.07055961 0.07568807 0.07941176 0.05965909 0.0625     0.10526316
 1.        ]","[1.         0.75862069 0.62068966 0.24137931 0.03448276 0.02298851
 0.        ]",[0.07885418 0.08843128 0.10403151 0.11300712 0.15373618 0.22670206],"0       0
1       0
2       1
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    1
1232    0
Name: usability_label, Length: 1233, dtype: int64",only topic model one hot
