feature,coefficient,absolute_coefficient
num_changes_text_before_sprint,0.17986357600844255,0.17986357600844255
text_has_tbd_or_todo,0.10969991819175547,0.10969991819175547
issue_type=Task,-0.10538712416601824,0.10538712416601824
priority=Critical,0.10232118123710779,0.10232118123710779
text_has_please,-0.09929095352203206,0.09929095352203206
priority=Major,-0.09333121892711367,0.09333121892711367
issue_type=New Feature,0.07225117758284513,0.07225117758284513
project_key=MXS,0.07139964226421455,0.07139964226421455
text_exclamation_marks,-0.06658948343533466,0.06658948343533466
text_question_marks,-0.06626004577572464,0.06626004577572464
text_has_code,0.06510617055515065,0.06510617055515065
num_comments_before_sprint,0.0604290338917711,0.0604290338917711
text_has_url,0.04712998625388955,0.04712998625388955
priority=Minor,-0.04583424375056654,0.04583424375056654
project_key=MDEV,-0.045450823130653864,0.045450823130653864
text_newlines,0.04393995930309563,0.04393995930309563
num_issues_cretor_prev,-0.04239218085426377,0.04239218085426377
priority=Blocker,0.03985014826321237,0.03985014826321237
text_log_unique_words,-0.03864623357924705,0.03864623357924705
issue_type=Sub-Task,0.030816798161343507,0.030816798161343507
project_key=MCOL,-0.025562481387820146,0.025562481387820146
time_until_add_to_sprint,0.022366174266065793,0.022366174266065793
priority=Trivial,-0.014875697482980815,0.014875697482980815
project_key=MDBF,-0.012256168406081284,0.012256168406081284
text_log_chars,0.006377817507568828,0.006377817507568828
issue_type=Epic,-0.0048296447831366615,0.0048296447831366615
issue_type=Technical task,-0.00472103745537461,0.00472103745537461
text_log_words,0.00045072615976616843,0.00045072615976616843
text_has_acceptance,0.0,0.0
num_changes_story_point_before_sprint,0.0,0.0
original_story_points_sprint,0.0,0.0
