issue_key,issue_type,project_key,created,time_add_to_sprint,creator,priority,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,original_story_points_sprint,num_comments_before_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_until_add_to_sprint,num_changes_summary_description_acceptance_sprint,num_different_words_all_text_sprint,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,num_issues_cretor_prev
MDEV-7937,Task,MDEV,2015-04-08 20:54:04,2015-06-02 14:35:52.526,nirbhay_c,Critical,Enforce SSL when --ssl client option is used,"--ssl client options are currently ""advisory"".

Fixed in 5.7.3 : http://dev.mysql.com/doc/relnotes/mysql/5.7/en/news-5-7-3.html

https://bugzilla.suse.com/show_bug.cgi?id=924663",,,2,0,0,78821.80876666665,0,0,0,0,0,0,2
MDEV-427,Task,MDEV,2012-08-02 10:48:20,2015-06-02 17:31:46.000,colin,Critical,Provide a systemd script for MariaDB,"MySQL doesn't provide a systemd (http://www.freedesktop.org/wiki/Software/systemd/) script and thus distributions that are shipping systemd have to provide their own. Not many like this. So should we provide one inside the MariaDB package to be better for distributions than MySQL?

Some references:
* https://wiki.archlinux.org/index.php/Systemd/Services#mysqld
* http://en.gentoo-wiki.com/wiki/Systemd#MySQL
* https://bugzilla.redhat.com/show_bug.cgi?id=714426",,,14,0,0,1489363.4333333333,0,0,0,0,0,0,0
MDEV-7384,Task,MDEV,2014-12-27 05:55:32,2015-06-09 16:17:43.343,danblack,Major,[PATCH] add PERSISENT FOR ALL option to mysqlanalyze/mysqlcheck,"Having a mysqlanalyze/check that can use PERSISTENT FOR ALL in the ANALYZE TABLES without enabling use_stats_tables globally will assist in engine-independent statistics gathering.

Patch to code and man pages attached to perform this.",,,2,0,0,236782.18905000002,0,0,0,0,0,0,0
MDEV-5171,Task,MDEV,2013-10-22 20:42:50,2015-06-09 16:17:43.343,thatsafunnyname,Major, Add support for --innodb-optimize-keys to mysqldump.,"Hello and thank you for mariadb,

If the --innodb-optimize-keys mysqldump option was available with MariaDB I would use it when backing up and moving tables using mysqldump.  It can also be used to shrink InnoDB table files on mysqld instances where ""ALTER TABLE table_name ROW_FORMAT=Compact"" does not result in fast index creation being used and where expand_fast_index_creation is not available so ""OPTIMIZE TABLE table_name"" and ""ALTER TABLE table_name ENGINE=INNODB"" do not use fast index creation.

Having support for expand_fast_index_creation would also be great, but I think there is value from just adding the pragmatic mysqldump option.

Applying the latest changes with fixes for the mysqldump option to MariaDB 10 was relatively easy.  The original work and subsequent patches with tests having been created by Alexey Kopytov.

Here are some links to the background:

[http://bugs.mysql.com/bug.php?id=57583]
[http://bugs.mysql.com/bug.php?id=49120]
[http://www.percona.com/doc/percona-server/5.5/management/innodb_expanded_fast_index_creation.html#expand_fast_index_creation]
[http://www.mysqlperformanceblog.com/2012/06/19/building-indexes-by-sorting-in-innodb-aka-fast-index-creation/]
[http://www.mysqlperformanceblog.com/2011/11/06/improved-innodb-fast-index-creation/]
[http://www.mysqlperformanceblog.com/2010/12/09/thinking-about-running-optimize-on-your-innodb-table-stop/]
[https://bugs.launchpad.net/percona-server/+bug/989253]
[https://bugs.launchpad.net/percona-server/+bug/858945]
[https://bugs.launchpad.net/percona-server/+bug/744103]
[https://github.com/facebook/mysql-5.6/commit/7862a74ddb48eceaf2a48531d20550752c868a46]
 
I tested using the example from Mark Callaghan in [http://bugs.mysql.com/bug.php?id=57583]
 
{noformat}
create table rt (i int primary key auto_increment, j float) engine=innodb;
insert into rt values (null, 1);
create index x2 on rt(j);
insert into rt select null, rand(0) from rt;     (21 times for 2,097,152 rows)
 
120M test/rt.ibd
 
    Data_length: 62472192
   Index_length: 50937856
      Data_free: 7340032
 
mariadb-10.0.4-linux-x86_64/bin/mysqldump --order-by-primary test rt | mysql -D test2
 
120M test2/rt.ibd
 
    Data_length: 62472192
   Index_length: 50937856
      Data_free: 7340032
 
Percona-Server-5.6.13-rel61.0-461.Linux.x86_64/bin/mysqldump --order-by-primary --innodb-optimize-keys test rt | mysql -D test3
 
92M test3/rt.ibd
 
    Data_length: 62472192
   Index_length: 30998528
      Data_free: 0
{noformat}
 
Thanks again.",,,5,2,0,856534.88905,0,0,0,0,0,0,0
MDEV-8183,Task,MDEV,2015-05-19 16:13:38,2015-06-09 16:17:43.343,stephane@skysql.com,Major,Adding option mysqldump ---no-data-med,"Some users have reported differences moving from FederatedX to Spider , mysqldump is not exporting rows from federated. 

{code}
if (!opt_no_data &&
       (!my_strcasecmp(&my_charset_latin1, table_type, ""MRG_MyISAM"") ||
        !strcmp(table_type,""MRG_ISAM"") ||
        !strcmp(table_type,""CONNECT"") ||
        !strcmp(table_type,""FEDERATED"")))
     result= IGNORE_DATA;
 } 
{code}

There is probably a better way to list all med engine directly in the code, can't we add a flag to storage engine API  

This task would add OQGRAPH and SPIDER test and an additional option  

'm' short option is not use 

{code}
 {""no-data-med"", 'm', ""No row information for MED storage."", &opt_no_data_med,
   &opt_no_data-med, 0, GET_BOOL, NO_ARG, 1, 0, 0, 0, 0, 0},
{code}

 The default would not fetch federated rows

",,,1,0,0,30244.089050000002,1,3,0,0,0,0,0
MDEV-5536,Task,MDEV,2014-01-17 11:26:57,2015-06-09 16:57:52.000,davidstrauss,Minor,Support systemd socket activation,"Supporting socket activation would make each of the following possible for admins:
 * Cleaner restarts (the listener socket stays open persistently)
 * Network namespace isolation, disallowing any network access beyond the inherited listener port (and connections accepted from it).
 * Lazy startup for densely hosted instances. (It's also possible with socket activation to start it eagerly, as usual.)
 * Running MariaDB on privileged ports without having to start it initially as root
 * Non-racy startup for services (like a PHP site) that depend on connecting to MariaDB. Because systemd opens listener sockets early in boot, they're available even while MariaDB is starting
 * Deeper integration into coming network support in future systemd releases

Some examples in C are here:
http://0pointer.de/blog/projects/socket-activation.html

I am willing to sponsor development of this feature.",,,21,0,0,731850.9166666666,0,0,0,0,0,0,0
MDEV-5713,Task,MDEV,2014-02-21 10:34:55,2015-06-09 16:58:51.000,hhorak,Major,RFE: Add support for systemd notify feature,"Originally reported as http://bugs.mysql.com/bug.php?id=65809

Since systemd tries to start services parallel, it's not easy to ensure that mysql daemon is started before another service, which requires it. Currently, we have to use an arbitrary script, that checks if the daemon is ready.

However, systemd has a feature to notify daemon about a service status, which would help in this scenario a lot and packagers wouldn't need any additional scripts to test daemon status. MySQL daemon can simple send a message to systemd daemon, that startup actions have been done successfully and we are ready to accept connections.

Using this feature is really straightforward and doesn't make any issues if a user uses alternative init system. To be concrete, only one function call and some configuration checking is needed.

Please, consider adopting the following patch attached.",,,7,0,0,681503.9333333333,0,0,0,0,0,0,0
MDEV-6756,Task,MDEV,2014-09-18 21:18:48,2015-06-17 11:59:06.000,hhiggs,Major,map a linux pid (child pid) to a connection id shown in the output of SHOW PROCESSLIST,"We have have a multi-threaded program with multiple connections to the database.  While this program is running, we often get a single child process (pid) that just hangs.  This particular child process consumes 100% of any given CPU.  We are trying to troubleshoot this and trying to determine which child pid maps to the SHOW PROCESSLIST Id.

With that in mind, we would like to know if there is a way to map a linux child pid that's associated with the linux parent pid (ppid) of the mysqld process to the Id shown in the output of SHOW PROCESSLIST.

",,,7,1,0,391120.3,0,0,0,0,0,0,0
MDEV-6877,Task,MDEV,2014-10-16 05:16:18,2015-06-17 17:53:14.000,arjen,Major,Merge binlog_row_image from MySQL 5.6,"Sadly, many production environments do have InnoDB tables without PRIMARY KEY. This happens for instance in Drupal deployments where either core or modules may not always have a PK defined in their structure.

This MySQL 5.6 optimisation would help MariaDB slaves execute certain queries faster.


Ref http://dev.mysql.com/doc/refman/5.6/en/replication-options-binary-log.html#sysvar_binlog_row_image heading ""Optimized Row-Based Replication"" quoted below
===
The final piece in improving replication performance is to introduce efficiencies to the binary log itself.

By only replicating those elements of the row image that have changed following INSERT, UPDATE and DELETE operations, replication throughput for both the master and slave(s) can be increased while binary log disk space, network resource and server memory footprint are all reduced.

This is especially useful when replicating across datacenters or cloud availability zones.

Another performance enhancements is the was Row-Based Replication events are handled on the slave against tables without Primary Keys. Updates would be made via multiple table scans. In MySQL 5.6, no matter size of the event, only one table scan is performed, significantly reducing the apply time.

You can learn more about Optimized Row Based Replication from the MySQL documentation (http://dev.mysql.com/doc/refman/5.6/en/replication-options-binary-log.html#sysvar_binlog_row_image)
===

",,,1,0,0,352116.93333333335,0,0,0,0,0,0,0
MDEV-7832,Task,MDEV,2015-03-25 14:58:08,2015-06-17 20:10:44.000,geoffmontee,Major,Add status variables to track CREATE TEMPORARY TABLE and DROP TEMPORARY TABLE,"Some users would find it helpful to track temporary tables created and dropped by their application (not those created internally to MariaDB). Can we add status variables like the following?:

Com_create_temp_table
Com_drop_temp_table",,,1,0,0,121272.6,0,0,0,0,0,0,0
