feature,coefficient,absolute_coefficient
text_newlines,0.015327985657788043,0.015327985657788043
num_changes_text_before_sprint,0.008865518100297176,0.008865518100297176
num_issues_cretor_prev,-0.008642416214502248,0.008642416214502248
text_exclamation_marks,0.008572845687842555,0.008572845687842555
text_log_unique_words,0.006995130973180538,0.006995130973180538
text_has_url,0.006053275950870556,0.006053275950870556
time_until_add_to_sprint,-0.0058361810863764504,0.0058361810863764504
original_story_points_sprint,-0.005780917644327934,0.005780917644327934
text_log_chars,0.005390345790986408,0.005390345790986408
text_log_words,0.005098979385620105,0.005098979385620105
project_key=QTBUG,0.004166666666666667,0.004166666666666667
text_has_code,-0.0036929827938175994,0.0036929827938175994
issue_type=Suggestion,-0.0024999999999999996,0.0024999999999999996
issue_type=User Story,0.002142857142857143,0.002142857142857143
priority=P2: Important,-0.002142857142857142,0.002142857142857142
priority=Not Evaluated,0.0017857142857142854,0.0017857142857142854
project_key=QDS,-0.0016666666666666663,0.0016666666666666663
num_comments_before_sprint,-0.0012808039291353833,0.0012808039291353833
issue_type=Task,0.0011904761904761906,0.0011904761904761906
priority=P1: Critical,0.0009523809523809524,0.0009523809523809524
project_key=QTIFW,-0.0008333333333333332,0.0008333333333333332
project_key=QTQAINFRA,-0.0008333333333333332,0.0008333333333333332
issue_type=Technical task,-0.0008333333333333332,0.0008333333333333332
project_key=QTCREATORBUG,-0.0008333333333333332,0.0008333333333333332
priority=P3: Somewhat important,-0.0005952380952380951,0.0005952380952380951
text_question_marks,0.00034690133161227344,0.00034690133161227344
text_has_acceptance,0.0,0.0
text_has_tbd_or_todo,0.0,0.0
num_changes_story_point_before_sprint,0.0,0.0
text_has_please,0.0,0.0
