feature,coefficient,absolute_coefficient
text_log_unique_words,0.10028867431203208,0.10028867431203208
text_log_words,0.09519993473699818,0.09519993473699818
text_has_please,0.09500835692765368,0.09500835692765368
text_log_chars,0.08985248324582411,0.08985248324582411
original_story_points_sprint,0.08126388397424898,0.08126388397424898
text_question_marks,0.0661170719544953,0.0661170719544953
project_key=OFBIZ,-0.0449315194139289,0.0449315194139289
priority=Minor,-0.04377984442494744,0.04377984442494744
num_issues_cretor_prev,0.04187819090847783,0.04187819090847783
text_exclamation_marks,0.03316316311517025,0.03316316311517025
text_newlines,0.028569994526519833,0.028569994526519833
project_key=HDDS,0.027938339439179748,0.027938339439179748
issue_type=Task,0.025932318140785775,0.025932318140785775
num_changes_text_before_sprint,0.02401185561876374,0.02401185561876374
project_key=DATALAB,0.02323070036283835,0.02323070036283835
issue_type=Improvement,-0.022900344241740832,0.022900344241740832
priority=Major,0.02276778885281821,0.02276778885281821
issue_type=Sub-task,-0.021830503153005776,0.021830503153005776
project_key=AURORA,-0.012914946972194379,0.012914946972194379
project_key=MESOS,0.010520183202673018,0.010520183202673018
project_key=USERGRID,0.009347444106724632,0.009347444106724632
num_changes_story_point_before_sprint,0.008728182174020745,0.008728182174020745
project_key=KYLIN,-0.008522508391070023,0.008522508391070023
text_has_acceptance,0.008479325375473424,0.008479325375473424
priority=Critical,0.007857278768977948,0.007857278768977948
priority=Trivial,-0.00782158361952687,0.00782158361952687
time_until_add_to_sprint,-0.007365047131619057,0.007365047131619057
project_key=SLIDER,-0.006454878158463993,0.006454878158463993
project_key=GEODE,-0.005782661502100549,0.005782661502100549
project_key=MAHOUT,-0.0055080164597364365,0.0055080164597364365
text_has_url,-0.0053891939989042185,0.0053891939989042185
text_has_tbd_or_todo,0.005381190861206822,0.005381190861206822
issue_type=New Feature,-0.004752007955829828,0.004752007955829828
project_key=OAK,-0.0045468699459579355,0.0045468699459579355
issue_type=Story,0.003490834380063453,0.003490834380063453
project_key=STREAMS,-0.0031768408223153267,0.0031768408223153267
issue_type=Epic,0.002531926876071001,0.002531926876071001
text_has_code,0.002412462158183359,0.002412462158183359
issue_type=Technical task,-0.0024103931476186736,0.0024103931476186736
priority=Blocker,-0.0023953821228996624,0.0023953821228996624
project_key=SPARK,0.002326128608345573,0.002326128608345573
project_key=ARIA,-0.0022187483346194805,0.0022187483346194805
issue_type=Test,-0.002129042763437875,0.002129042763437875
project_key=FLAGON,-0.0018651051948795196,0.0018651051948795196
issue_type=Wish,-0.001252214783797243,0.001252214783797243
project_key=SYSTEMDS,0.0009139387879953173,0.0009139387879953173
project_key=IOTDB,-0.0008942649979987885,0.0008942649979987885
project_key=SCB,0.0008767451425214306,0.0008767451425214306
project_key=MXNET,-0.0006022644775135147,0.0006022644775135147
project_key=GRIFFIN,-0.00044732227161316994,0.00044732227161316994
issue_type=Blog - New Blog Request,-0.00042507898968667507,0.00042507898968667507
project_key=GOBBLIN,-0.0003838495695991546,0.0003838495695991546
issue_type=Documentation,0.00037423744192099077,0.00037423744192099077
issue_type=Dependency upgrade,-0.0003413314831487753,0.0003413314831487753
issue_type=Umbrella,0.00033985713384665137,0.00033985713384665137
project_key=HELIX,-0.0002754256838646605,0.0002754256838646605
num_comments_before_sprint,0.0,0.0
