feature,coefficient,absolute_coefficient
text_log_words,0.1602776388661258,0.1602776388661258
text_log_chars,0.15714593613774847,0.15714593613774847
text_log_unique_words,0.1538658336641759,0.1538658336641759
num_issues_cretor_prev,-0.10392080483363124,0.10392080483363124
original_story_points_sprint,0.09839916046003364,0.09839916046003364
text_has_code,0.06821552433315765,0.06821552433315765
priority=Medium,-0.06758460611574799,0.06758460611574799
project_key=STL,-0.057647404849651154,0.057647404849651154
priority=High,0.04456176215083358,0.04456176215083358
issue_type=Story,0.04360827019675429,0.04360827019675429
issue_type=Sub-task,-0.04067000560755093,0.04067000560755093
text_has_tbd_or_todo,0.037381642682687594,0.037381642682687594
issue_type=Improvement,-0.031504301803974157,0.031504301803974157
num_changes_text_before_sprint,0.03093600006140083,0.03093600006140083
num_changes_story_point_before_sprint,0.02991350550506585,0.02991350550506585
text_has_please,-0.028392488593355112,0.028392488593355112
project_key=INDY,0.027483750072239136,0.027483750072239136
text_exclamation_marks,0.024133913737730415,0.024133913737730415
time_until_add_to_sprint,0.02283785411245755,0.02283785411245755
issue_type=Epic,0.017428791509215634,0.017428791509215634
issue_type=New Feature,-0.01531419959792456,0.01531419959792456
project_key=FABJ,0.011857695496640555,0.011857695496640555
text_question_marks,-0.011754160119185123,0.011754160119185123
project_key=IS,-0.011665937906484345,0.011665937906484345
project_key=FABC,0.00957768827926402,0.00957768827926402
text_newlines,0.00789918223963986,0.00789918223963986
text_has_acceptance,0.006947708977410963,0.006947708977410963
priority=Low,-0.006901594576049624,0.006901594576049624
text_has_url,0.005458511981276062,0.005458511981276062
project_key=FABP,-0.003826401497073207,0.003826401497073207
project_key=FAB,-0.0029154421745757873,0.0029154421745757873
project_key=FABN,0.002707625482664512,0.002707625482664512
priority=Highest,0.001691284382982507,0.001691284382982507
project_key=FABG,-0.0015551917399690323,0.0015551917399690323
priority=Lowest,0.0010971883413249837,0.0010971883413249837
project_key=FABCJ,-0.000864479106078654,0.000864479106078654
issue_type=Task,-0.0006845205131768458,0.0006845205131768458
project_key=CE,0.0003908691105088777,0.0003908691105088777
project_key=FABCT,-0.00034135862858839894,0.00034135862858839894
project_key=FABB,-0.000337378355553119,0.000337378355553119
num_comments_before_sprint,0.0,0.0
