feature,coefficient,absolute_coefficient
text_newlines,0.012624486500894214,0.012624486500894214
text_log_chars,0.01111622736142979,0.01111622736142979
text_log_words,0.009631915771976286,0.009631915771976286
text_log_unique_words,0.009494171170254263,0.009494171170254263
num_changes_story_point_before_sprint,0.00679510954655691,0.00679510954655691
original_story_points_sprint,0.006457047525714426,0.006457047525714426
time_until_add_to_sprint,0.005438263039610989,0.005438263039610989
text_question_marks,0.004578236771739603,0.004578236771739603
num_issues_cretor_prev,-0.002857411770253113,0.002857411770253113
num_changes_text_before_sprint,0.0027768460238233074,0.0027768460238233074
project_key=CART,-0.0017813139285201883,0.0017813139285201883
project_key=DAOS,0.0016997459979347707,0.0016997459979347707
text_exclamation_marks,-0.0016245460945255535,0.0016245460945255535
text_has_code,-0.0013331852495410813,0.0013331852495410813
issue_type=Story,-0.001286754480238099,0.001286754480238099
issue_type=Sub-Task,0.0012846714974424683,0.0012846714974424683
priority=P4-Low,-0.0010626653509220327,0.0010626653509220327
text_has_tbd_or_todo,-0.0007946539441778595,0.0007946539441778595
priority=P2-High,0.0005868024909813422,0.0005868024909813422
text_has_url,-0.000585949546306222,0.000585949546306222
priority=P1-Urgent,0.0004288557344831886,0.0004288557344831886
text_has_please,-0.00012073643234368032,0.00012073643234368032
issue_type=Epic,-7.948494778978725e-05,7.948494778978725e-05
priority=P3-Medium,-3.4560805127916534e-05,3.4560805127916534e-05
text_has_acceptance,0.0,0.0
num_comments_before_sprint,0.0,0.0
