feature,coefficient,absolute_coefficient
issue_type=Sub-task,-0.29408577525714014,0.29408577525714014
project_key=JSWCLOUD,-0.29364272422770427,0.29364272422770427
num_changes_text_before_sprint,0.22233878511308028,0.22233878511308028
text_exclamation_marks,0.20920820333893556,0.20920820333893556
text_log_unique_words,0.20528800798347296,0.20528800798347296
project_key=CONFSERVER,0.20127454507505452,0.20127454507505452
text_log_words,0.19483950708187664,0.19483950708187664
text_log_chars,0.18261966259463538,0.18261966259463538
num_issues_cretor_prev,0.17890920877143568,0.17890920877143568
priority=Low,-0.1591110687282196,0.1591110687282196
priority=unknown,0.14290455297541865,0.14290455297541865
issue_type=Suggestion,0.14290455297541865,0.14290455297541865
time_until_add_to_sprint,0.11861993730554458,0.11861993730554458
project_key=JSWSERVER,0.1147468727975022,0.1147468727975022
text_has_code,-0.10733246840820182,0.10733246840820182
text_question_marks,0.08655694683896795,0.08655694683896795
original_story_points_sprint,0.08126591312435888,0.08126591312435888
priority=Medium,-0.06800443550950762,0.06800443550950762
priority=High,-0.051153701893815164,0.051153701893815164
project_key=CWD,-0.050912471695747,0.050912471695747
text_has_tbd_or_todo,0.039194953631087506,0.039194953631087506
num_changes_story_point_before_sprint,0.03638504968318381,0.03638504968318381
project_key=FE,-0.035195488900760075,0.035195488900760075
project_key=CLOV,-0.03470585561372123,0.03470585561372123
text_newlines,-0.03296336978787997,0.03296336978787997
project_key=BSERV,-0.026944368210496696,0.026944368210496696
project_key=CRUC,-0.020144105938453453,0.020144105938453453
priority=Highest,-0.015816569125597927,0.015816569125597927
text_has_please,-0.012977804192338417,0.012977804192338417
project_key=BAM,-0.005657625567396194,0.005657625567396194
text_has_url,0.00030333698281577096,0.00030333698281577096
num_comments_before_sprint,0.0,0.0
text_has_acceptance,0.0,0.0
