feature,coefficient,absolute_coefficient
text_has_code,0.1636641573024926,0.1636641573024926
project_key=MDEV,0.13091628159247887,0.13091628159247887
project_key=MXS,-0.10359726683408449,0.10359726683408449
text_newlines,0.09911445425940439,0.09911445425940439
text_log_words,0.0859784848771838,0.0859784848771838
num_issues_cretor_prev,-0.0769326995189589,0.0769326995189589
text_log_chars,0.07681804628914399,0.07681804628914399
priority=Blocker,0.07154680276877472,0.07154680276877472
priority=Major,-0.06960890398907253,0.06960890398907253
text_log_unique_words,0.06745081525219172,0.06745081525219172
issue_type=Technical task,0.05521519903681375,0.05521519903681375
issue_type=Sub-Task,-0.0477130404727848,0.0477130404727848
project_key=MCOL,-0.045525681375429554,0.045525681375429554
text_has_tbd_or_todo,0.03916482337591109,0.03916482337591109
num_changes_text_before_sprint,0.03639125473635238,0.03639125473635238
text_has_please,-0.03564810184261057,0.03564810184261057
issue_type=New Feature,-0.033971086050749964,0.033971086050749964
priority=Minor,-0.025189974369124162,0.025189974369124162
time_until_add_to_sprint,0.020304271920116305,0.020304271920116305
text_exclamation_marks,-0.007220020037486199,0.007220020037486199
priority=Critical,0.006521544599098882,0.006521544599098882
priority=Trivial,-0.005222692212630485,0.005222692212630485
text_has_url,0.003218091885175544,0.003218091885175544
issue_type=Task,0.002936151924081192,0.002936151924081192
project_key=CONJ,-0.0021183635858068347,0.0021183635858068347
project_key=CONJS,-0.0016281930001115293,0.0016281930001115293
issue_type=Epic,0.0015795523596862546,0.0015795523596862546
text_question_marks,0.0010241865026909087,0.0010241865026909087
original_story_points_sprint,0.0,0.0
num_comments_before_sprint,0.0,0.0
num_changes_story_point_before_sprint,0.0,0.0
text_has_acceptance,0.0,0.0
