,Unnamed: 0,issue_key,issue_type,project_key,created,epic_link,has_change_story_point_sprint,summary,description,acceptance_criteria,summary_description_acceptance,original_story_points_sprint,creator,reporter,priority,num_all_changes,story_point,num_bugs_issue_link,num_comments,num_issue_links,num_sprints,num_changes_story_points_new,num_changes_summary_description_acceptance,num_sub_tasks,num_changes_sprint,num_changes_story_points_new_sprint,num_comments_before_sprint,num_comments_after_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_add_to_sprint,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,num_changes_summary_sprint,num_changes_description_sprint,num_changes_acceptance_criteria_sprint,num_different_words_all_text_sprint,num_ratio_words_all_text_sprint,original_summary_description_acceptance_sprint,num_changes_summary_description_acceptance_sprint,is_change_text_num_words_1,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,is_change_text_sp_sprint,time_until_add_to_sprint,num_issues_cretor_prev,num_unusable_issues_cretor_prev_text_word_1,num_unusable_issues_cretor_prev_text_word_1_ratio,num_unusable_issues_cretor_prev_text_word_5,num_unusable_issues_cretor_prev_text_word_5_ratio,num_unusable_issues_cretor_prev_text_word_10,num_unusable_issues_cretor_prev_text_word_10_ratio,num_unusable_issues_cretor_prev_text_word_15,num_unusable_issues_cretor_prev_text_word_15_ratio,num_unusable_issues_cretor_prev_text_word_20,num_unusable_issues_cretor_prev_text_word_20_ratio
0,0,AUTOSUITE-1023,Task,AUTOSUITE,2019-06-13 11:41:39,,0.0,"Neptune3 UI ""autostart"" apps start in foreground on a restart","If an application is marked for ""autostart"" it is launched in foreground and so overlaying the home screen. It would be better for the user to keep seeing the home screen on a new start",,"Neptune3 UI ""autostart"" apps start in foreground on a restart $end$ If an application is marked for ""autostart"" it is launched in foreground and so overlaying the home screen. It would be better for the user to keep seeing the home screen on a new start $acceptance criteria:$",,Vladimir Minenko,Vladimir Minenko,P3: Somewhat important,8,,0,0,0,1,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-08 12:22:57,"Neptune3 UI ""autostart"" apps start in foreground on a restart","If an application is marked for ""autostart"" it is launched in foreground and so overlaying the home screen. It would be better for the user to keep seeing the home screen on a new start",,0.0,0.0,0.0,0.0,0.0,"Neptune3 UI ""autostart"" apps start in foreground on a restart $end$ If an application is marked for ""autostart"" it is launched in foreground and so overlaying the home screen. It would be better for the user to keep seeing the home screen on a new start $acceptance criteria:$",0,0,0,0,0,0,0,600.683,30,12,0.4,6,0.2,4,0.133333,2,0.0666667,2,0.0666667
1,1,AUTOSUITE-107,Task,AUTOSUITE,2017-05-02 07:21:59,,0.0,Create documentation draft for INTEGRITY,,,Create documentation draft for INTEGRITY $end$ $acceptance criteria:$,,Kimmo Ollila,Kimmo Ollila,Not Evaluated,10,,0,2,0,1,0.0,0,0,,0.0,1151,2.0,0,0.0,2017-05-02 07:22:42,Create documentation draft for INTEGRITY,,,0.0,0.0,0.0,0.0,0.0,Create documentation draft for INTEGRITY $end$ $acceptance criteria:$,0,0,0,0,0,0,0,0.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,2,AUTOSUITE-1091,Suggestion,AUTOSUITE,2019-06-27 07:48:25,,0.0,Map widget has a big circle button with a loupe which function is only to expand the window,My suggestion is to expel it or replace with on click reaction ,,Map widget has a big circle button with a loupe which function is only to expand the window $end$ My suggestion is to expel it or replace with on click reaction  $acceptance criteria:$,,grigorii zimin,grigorii zimin,Not Evaluated,7,,0,0,0,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-18 09:17:35,Map widget has a big circle button with a loupe which function is only to expand the window,My suggestion is to expel it or replace with on click reaction ,,0.0,0.0,0.0,0.0,0.0,Map widget has a big circle button with a loupe which function is only to expand the window $end$ My suggestion is to expel it or replace with on click reaction  $acceptance criteria:$,0,0,0,0,0,0,1,505.483,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,3,AUTOSUITE-110,Task,AUTOSUITE,2017-05-03 06:43:38,,0.0,USB mouse support to INTEGRITY,Test and merge GHS patches for adding support of USB hid devices to INTEGRITY,,USB mouse support to INTEGRITY $end$ Test and merge GHS patches for adding support of USB hid devices to INTEGRITY $acceptance criteria:$,,Kimmo Ollila,Kimmo Ollila,Not Evaluated,9,,0,1,0,1,0.0,0,0,,0.0,1151,1.0,0,0.0,2017-05-03 06:44:32,USB mouse support to INTEGRITY,Test and merge GHS patches for adding support of USB hid devices to INTEGRITY,,0.0,0.0,0.0,0.0,0.0,USB mouse support to INTEGRITY $end$ Test and merge GHS patches for adding support of USB hid devices to INTEGRITY $acceptance criteria:$,0,0,0,0,0,0,0,0.0,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,4,AUTOSUITE-1114,Task,AUTOSUITE,2019-07-10 11:05:58,,0.0,Write a tutorial for the Parking App Example,"Based on Bernd's research, create a draft tutorial and submit for review.",,"Write a tutorial for the Parking App Example $end$ Based on Bernd's research, create a draft tutorial and submit for review. $acceptance criteria:$",,Kavindra Palaraja,Kavindra Palaraja,P2: Important,4,,0,4,0,2,0.0,0,5,,0.0,1151,0.0,0,0.0,2019-08-14 08:21:48,Write a tutorial for the Parking App Example,"Based on Bernd's research, create a draft tutorial and submit for review.",,0.0,0.0,0.0,0.0,0.0,"Write a tutorial for the Parking App Example $end$ Based on Bernd's research, create a draft tutorial and submit for review. $acceptance criteria:$",0,0,0,0,0,0,1,837.25,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,5,AUTOSUITE-1128,Sub-task,AUTOSUITE,2019-07-12 11:58:54,,0.0,Explain how to write a Parking App,We have the code from the Parking App. Write a step-by-step guide of how this is done.,,Explain how to write a Parking App $end$ We have the code from the Parking App. Write a step-by-step guide of how this is done. $acceptance criteria:$,,Kavindra Palaraja,Kavindra Palaraja,P2: Important,3,,0,0,0,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-12 11:58:54,Explain how to write a Parking App,We have the code from the Parking App. Write a step-by-step guide of how this is done.,,0.0,0.0,0.0,0.0,0.0,Explain how to write a Parking App $end$ We have the code from the Parking App. Write a step-by-step guide of how this is done. $acceptance criteria:$,0,0,0,0,0,0,1,0.0,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,6,AUTOSUITE-1129,Sub-task,AUTOSUITE,2019-07-12 11:59:43,,0.0,Integrate QFace with the simulation backend,Document how to integrate the Parking App with the simulation backend.,,Integrate QFace with the simulation backend $end$ Document how to integrate the Parking App with the simulation backend. $acceptance criteria:$,,Kavindra Palaraja,Kavindra Palaraja,P2: Important,3,,0,0,0,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-12 11:59:43,Integrate QFace with the simulation backend,Document how to integrate the Parking App with the simulation backend.,,0.0,0.0,0.0,0.0,0.0,Integrate QFace with the simulation backend $end$ Document how to integrate the Parking App with the simulation backend. $acceptance criteria:$,0,0,0,0,0,0,1,0.0,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,7,AUTOSUITE-1131,Sub-task,AUTOSUITE,2019-07-12 12:00:23,,0.0,Integrate the Intent System and Notifications,,,Integrate the Intent System and Notifications $end$ $acceptance criteria:$,,Kavindra Palaraja,Kavindra Palaraja,Not Evaluated,5,,0,0,0,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-12 12:00:23,Integrate the Intent System and Notifications,,,0.0,0.0,0.0,0.0,0.0,Integrate the Intent System and Notifications $end$ $acceptance criteria:$,0,0,0,0,0,0,1,0.0,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,8,AUTOSUITE-1132,Sub-task,AUTOSUITE,2019-07-12 12:00:53,,0.0,Document how to start the Parking App on Neptune 3 UI,,,Document how to start the Parking App on Neptune 3 UI $end$ $acceptance criteria:$,,Kavindra Palaraja,Kavindra Palaraja,P2: Important,6,,0,0,0,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-12 12:00:53,Document how to start the Parking App on Neptune 3 UI,,,0.0,0.0,0.0,0.0,0.0,Document how to start the Parking App on Neptune 3 UI $end$ $acceptance criteria:$,0,0,0,0,0,0,1,0.0,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,9,AUTOSUITE-1136,User Story,AUTOSUITE,2019-07-15 13:33:40,,0.0,Add possibility to play and pause media / music from the companion app,"As a user, I would like to have the possibility to control the media. Initially, it should be possible to play / pause the current played music. Later should also be possible to go next or prev within the playlist.",,"Add possibility to play and pause media / music from the companion app $end$ As a user, I would like to have the possibility to control the media. Initially, it should be possible to play / pause the current played music. Later should also be possible to go next or prev within the playlist. $acceptance criteria:$",,Bramastyo Harimukti Santoso,Bramastyo Harimukti Santoso,Not Evaluated,6,,2,0,2,2,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-18 08:56:25,Add possibility to play and pause media / music from the companion app,"As a user, I would like to have the possibility to control the media. Initially, it should be possible to play / pause the current played music. Later should also be possible to go next or prev within the playlist.",,0.0,0.0,0.0,0.0,0.0,"Add possibility to play and pause media / music from the companion app $end$ As a user, I would like to have the possibility to control the media. Initially, it should be possible to play / pause the current played music. Later should also be possible to go next or prev within the playlist. $acceptance criteria:$",0,0,0,0,0,0,1,67.3667,89,22,0.247191,19,0.213483,14,0.157303,14,0.157303,11,0.123596
10,10,AUTOSUITE-1137,User Story,AUTOSUITE,2019-07-15 13:36:12,,0.0,"Make music app ""auto-recover"" by default","As a user, since music app is currently act as a client to ivi media server, even if music app is killed, media will keep playing and therefore, music has to recover by itself and showing the current state of the media.",,"Make music app ""auto-recover"" by default $end$ As a user, since music app is currently act as a client to ivi media server, even if music app is killed, media will keep playing and therefore, music has to recover by itself and showing the current state of the media. $acceptance criteria:$",,Bramastyo Harimukti Santoso,Bramastyo Harimukti Santoso,Not Evaluated,4,,1,0,1,1,0.0,0,0,,0.0,1151,0.0,0,0.0,2019-07-18 08:55:19,"Make music app ""auto-recover"" by default","As a user, since music app is currently act as a client to ivi media server, even if music app is killed, media will keep playing and therefore, music has to recover by itself and showing the current state of the media.",,0.0,0.0,0.0,0.0,0.0,"Make music app ""auto-recover"" by default $end$ As a user, since music app is currently act as a client to ivi media server, even if music app is killed, media will keep playing and therefore, music has to recover by itself and showing the current state of the media. $acceptance criteria:$",0,0,0,0,0,0,0,67.3167,90,22,0.244444,19,0.211111,14,0.155556,14,0.155556,11,0.122222
