feature,coefficient,absolute_coefficient
text_log_chars,0.15539047683257992,0.15539047683257992
text_log_words,0.14824758825910567,0.14824758825910567
text_log_unique_words,0.135279024654038,0.135279024654038
text_has_tbd_or_todo,0.11385433888515918,0.11385433888515918
issue_type=Task,-0.08869016710831103,0.08869016710831103
num_changes_text_before_sprint,0.07046721239048331,0.07046721239048331
text_exclamation_marks,-0.06720734304516145,0.06720734304516145
text_question_marks,0.06293213398666017,0.06293213398666017
text_has_code,-0.05648100815689512,0.05648100815689512
text_newlines,0.0542775259642761,0.0542775259642761
project_key=QSR,0.053972827032251335,0.053972827032251335
text_has_acceptance,0.05022971710307901,0.05022971710307901
num_issues_cretor_prev,-0.04971017208178086,0.04971017208178086
text_has_url,0.04576399538610053,0.04576399538610053
project_key=QTBUG,-0.04218245651820985,0.04218245651820985
priority=P3: Somewhat important,-0.03534515983829381,0.03534515983829381
issue_type=Technical task,0.030569347866985924,0.030569347866985924
priority=P1: Critical,0.024300584631660002,0.024300584631660002
project_key=QTIFW,-0.023556870758761308,0.023556870758761308
issue_type=Suggestion,-0.02073662568060276,0.02073662568060276
issue_type=Epic,0.018379720037511857,0.018379720037511857
issue_type=Sub-task,0.016464448745503804,0.016464448745503804
project_key=QDS,-0.01628095499240967,0.01628095499240967
priority=Not Evaluated,-0.014523575280896683,0.014523575280896683
priority=P2: Important,-0.014396144671988225,0.014396144671988225
original_story_points_sprint,0.014075217416207925,0.014075217416207925
project_key=QTQAINFRA,-0.014033958586341218,0.014033958586341218
project_key=AUTOSUITE,0.010675627499598626,0.010675627499598626
time_until_add_to_sprint,-0.00971801938370143,0.00971801938370143
text_has_please,-0.008756954629315462,0.008756954629315462
project_key=QTWEBSITE,-0.0035132048946435366,0.0035132048946435366
project_key=QTCREATORBUG,-0.0034431808075605424,0.0034431808075605424
priority=P4: Low,-0.0030675384274066572,0.0030675384274066572
num_changes_story_point_before_sprint,0.002765383490410161,0.002765383490410161
project_key=QT3DS,-0.002459523206425648,0.002459523206425648
issue_type=User Story,0.002276682004493726,0.002276682004493726
priority=P0: Blocker,0.0021037291521607666,0.0021037291521607666
project_key=PYSIDE,-0.0009601003453992014,0.0009601003453992014
priority=unknown,-0.0005987739117647477,0.0005987739117647477
priority=P5: Not important,-0.0005493478509903271,0.0005493478509903271
issue_type=Improvement,-0.0003396320631009548,0.0003396320631009548
project_key=QTMCU,-0.00029443061961838913,0.00029443061961838913
num_comments_before_sprint,0.0,0.0
