,issue_key,issue_type,project_key,created,epic_link,has_change_story_point_sprint,summary,description,acceptance_criteria,summary_description_acceptance,original_story_points_sprint,creator,reporter,priority,num_all_changes,story_point,num_bugs_issue_link,num_comments,num_issue_links,num_sprints,num_changes_story_points_new,num_changes_summary_description_acceptance,num_sub_tasks,num_changes_sprint,num_changes_story_points_new_sprint,num_comments_before_sprint,num_comments_after_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_add_to_sprint,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,num_changes_summary_sprint,num_changes_description_sprint,num_changes_acceptance_criteria_sprint,num_different_words_all_text_sprint,num_ratio_words_all_text_sprint,original_summary_description_acceptance_sprint,num_changes_summary_description_acceptance_sprint,is_change_text_num_words_1,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,is_change_text_sp_sprint,time_until_add_to_sprint,num_issues_cretor_prev,num_unusable_issues_cretor_prev_text_word_1,num_unusable_issues_cretor_prev_text_word_1_ratio,num_unusable_issues_cretor_prev_text_word_5,num_unusable_issues_cretor_prev_text_word_5_ratio,num_unusable_issues_cretor_prev_text_word_10,num_unusable_issues_cretor_prev_text_word_10_ratio,num_unusable_issues_cretor_prev_text_word_15,num_unusable_issues_cretor_prev_text_word_15_ratio,num_unusable_issues_cretor_prev_text_word_20,num_unusable_issues_cretor_prev_text_word_20_ratio
0,CART-110,Story,CART,2016-12-19 14:02:09,,1,Add CaRT test for singleton attach,"Singleton attach is used by CPPR to attach to the local CNSS process.   It stopped working in a recent version of CaRT.

Please add a test for this feature to avoid this problem in the future.   The existing CaRT echo test can actually be used but the line needed is commented out.

In line 169 of crt_echo.h, the flags need to be set to CRT_FLAG_SINGLETON.   
For it to work on the client, CRT_ALLOW_SINGLETON=1 should be set in the environment for both the client and server and the bit should be set on the client in crt_init.   Unfortunately, you don't want to set that bit when you don't want to be treated as a singleton client so the test case can't be checked in without further modification to make that bit setting optional.  One option would be to set the bit if CRT_ALLOW_SINGLETON is set in the environment.

e.g.
if (getenv(""CRT_ALLOW_SINGLETON"")) flags |= CRT_FLAG_BIT_SINGLETON;

Then a test needs to be added to set that bit.

See CART-109 which has usage.   You run the server with orte and the client without orte.",,"Add CaRT test for singleton attach $end$ Singleton attach is used by CPPR to attach to the local CNSS process.   It stopped working in a recent version of CaRT.

Please add a test for this feature to avoid this problem in the future.   The existing CaRT echo test can actually be used but the line needed is commented out.

In line 169 of crt_echo.h, the flags need to be set to CRT_FLAG_SINGLETON.   
For it to work on the client, CRT_ALLOW_SINGLETON=1 should be set in the environment for both the client and server and the bit should be set on the client in crt_init.   Unfortunately, you don't want to set that bit when you don't want to be treated as a singleton client so the test case can't be checked in without further modification to make that bit setting optional.  One option would be to set the bit if CRT_ALLOW_SINGLETON is set in the environment.

e.g.
if (getenv(""CRT_ALLOW_SINGLETON"")) flags |= CRT_FLAG_BIT_SINGLETON;

Then a test needs to be added to set that bit.

See CART-109 which has usage.   You run the server with orte and the client without orte. $acceptance criteria:$",2.0,Jeff Olivier,Jeff Olivier,P4-Low,12,3.0,0,7,0,1,2,0,0,,2,772,5,0,0,2017-05-08 00:49:30,Add CaRT test for singleton attach,"Singleton attach is used by CPPR to attach to the local CNSS process.   It stopped working in a recent version of CaRT.

Please add a test for this feature to avoid this problem in the future.   The existing CaRT echo test can actually be used but the line needed is commented out.

In line 169 of crt_echo.h, the flags need to be set to CRT_FLAG_SINGLETON.   
For it to work on the client, CRT_ALLOW_SINGLETON=1 should be set in the environment for both the client and server and the bit should be set on the client in crt_init.   Unfortunately, you don't want to set that bit when you don't want to be treated as a singleton client so the test case can't be checked in without further modification to make that bit setting optional.  One option would be to set the bit if CRT_ALLOW_SINGLETON is set in the environment.

e.g.
if (getenv(""CRT_ALLOW_SINGLETON"")) flags |= CRT_FLAG_BIT_SINGLETON;

Then a test needs to be added to set that bit.

See CART-109 which has usage.   You run the server with orte and the client without orte.",,0,0,0,0,0.0,"Add CaRT test for singleton attach $end$ Singleton attach is used by CPPR to attach to the local CNSS process.   It stopped working in a recent version of CaRT.

Please add a test for this feature to avoid this problem in the future.   The existing CaRT echo test can actually be used but the line needed is commented out.

In line 169 of crt_echo.h, the flags need to be set to CRT_FLAG_SINGLETON.   
For it to work on the client, CRT_ALLOW_SINGLETON=1 should be set in the environment for both the client and server and the bit should be set on the client in crt_init.   Unfortunately, you don't want to set that bit when you don't want to be treated as a singleton client so the test case can't be checked in without further modification to make that bit setting optional.  One option would be to set the bit if CRT_ALLOW_SINGLETON is set in the environment.

e.g.
if (getenv(""CRT_ALLOW_SINGLETON"")) flags |= CRT_FLAG_BIT_SINGLETON;

Then a test needs to be added to set that bit.

See CART-109 which has usage.   You run the server with orte and the client without orte. $acceptance criteria:$",0,0,0,0,0,0,1,3346.78,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,CART-120,Story,CART,2016-12-19 07:47:41,CART-114,1,Self Test Configurable memory alignment.,Configurable alignment for sent data,,Self Test Configurable memory alignment. $end$ Configurable alignment for sent data $acceptance criteria:$,8.0,Ashley Pittman,Ashley Pittman,P4-Low,19,3.0,0,3,0,2,2,3,0,,1,772,3,1,1,2017-01-03 09:20:02,Self Test Configurable memory type/alignment.,"When sending data in self-test it should be configurable what data to communicate.

* malloc() data
* Read-only (BSS?)
* mmap()
* Alignment (both aligned and misaligned)",,1,1,0,32,0.771429,"Self Test Configurable memory type/alignment. $end$ When sending data in self-test it should be configurable what data to communicate.

* malloc() data
* Read-only (BSS?)
* mmap()
* Alignment (both aligned and misaligned) $acceptance criteria:$",2,1,1,1,1,1,1,361.533,4,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
2,CART-121,Story,CART,2016-12-19 08:14:46,CART-114,0,Land CORFSHIP-318 and CORFSHIP-319,,,Land CORFSHIP-318 and CORFSHIP-319 $end$ $acceptance criteria:$,1.0,Byron Marohn,Byron Marohn,P4-Low,7,1.0,0,1,0,1,0,0,0,,0,772,1,0,0,2016-12-19 08:14:46,Land CORFSHIP-318 and CORFSHIP-319,,,0,0,0,0,0.0,Land CORFSHIP-318 and CORFSHIP-319 $end$ $acceptance criteria:$,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,CART-122,Story,CART,2016-12-19 08:51:17,CART-114,0,Create backlog items for self-test and assign them to epics,,,Create backlog items for self-test and assign them to epics $end$ $acceptance criteria:$,1.0,Byron Marohn,Byron Marohn,P4-Low,9,1.0,0,1,0,1,0,0,0,,0,772,1,0,0,2016-12-19 08:58:46,Create backlog items for self-test and assign them to epics,,,0,0,0,0,0.0,Create backlog items for self-test and assign them to epics $end$ $acceptance criteria:$,0,0,0,0,0,0,0,0.116667,3,1,0.333333,1,0.333333,0,0.0,0,0.0,0,0.0
4,CART-123,Story,CART,2016-12-19 08:16:08,CART-116,1,Improve ability to address nodes in self-test,Currently only possible to address rank 0 in the self-test client. Need to make it possible to address arbitrary endpoints. ,,Improve ability to address nodes in self-test $end$ Currently only possible to address rank 0 in the self-test client. Need to make it possible to address arbitrary endpoints.  $acceptance criteria:$,3.0,Byron Marohn,Byron Marohn,P4-Low,13,5.0,0,2,0,2,1,0,0,,1,772,2,0,0,2016-12-19 08:16:08,Improve ability to address nodes in self-test,Currently only possible to address rank 0 in the self-test client. Need to make it possible to address arbitrary endpoints. ,,0,0,0,0,0.0,Improve ability to address nodes in self-test $end$ Currently only possible to address rank 0 in the self-test client. Need to make it possible to address arbitrary endpoints.  $acceptance criteria:$,0,0,0,0,0,0,1,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,CART-124,Story,CART,2016-12-19 08:17:14,CART-116,1,Initial implementation of one-to-many in self-test,Depends on CART-123. Need to be able to address groups of endpoints and round-robin traffic between them. ,,Initial implementation of one-to-many in self-test $end$ Depends on CART-123. Need to be able to address groups of endpoints and round-robin traffic between them.  $acceptance criteria:$,5.0,Byron Marohn,Byron Marohn,P4-Low,15,3.0,0,4,0,2,1,2,0,,1,772,4,0,0,2016-12-19 08:17:14,Implement one-to-many in self-test,Depends on CORFSHIP-329. Need to be able to address groups of endpoints and round-robin traffic between them. ,,1,1,0,6,0.166667,Implement one-to-many in self-test $end$ Depends on CORFSHIP-329. Need to be able to address groups of endpoints and round-robin traffic between them.  $acceptance criteria:$,2,1,1,0,0,0,1,0.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,CART-125,Story,CART,2016-12-05 09:18:35,CART-114,0,Make Message Size Asymmetrically configurable ,Builds on CORFSHIP-305,,Make Message Size Asymmetrically configurable  $end$ Builds on CORFSHIP-305 $acceptance criteria:$,5.0,Ira Lewis,Ira Lewis,P4-Low,16,5.0,0,2,0,3,0,1,0,,0,772,2,0,0,2016-12-05 09:18:35,Make Message Size Asymmetrically configurable (see #305),Builds on CORFSHIP-305,,1,0,0,2,0.153846,Make Message Size Asymmetrically configurable (see #305) $end$ Builds on CORFSHIP-305 $acceptance criteria:$,1,1,0,0,0,0,1,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,CART-127,Story,CART,2016-12-21 13:30:51,CART-116,1,Improve results output format for self test 1:many,Currently latency results are only reported in aggregate. Need a way to report results for individual nodes in 1:many so that outliers can be easily observed,,Improve results output format for self test 1:many $end$ Currently latency results are only reported in aggregate. Need a way to report results for individual nodes in 1:many so that outliers can be easily observed $acceptance criteria:$,5.0,Byron Marohn,Byron Marohn,P4-Low,10,3.0,0,3,0,1,1,0,0,,1,772,3,0,0,2017-03-24 23:09:53,Improve results output format for self test 1:many,Currently latency results are only reported in aggregate. Need a way to report results for individual nodes in 1:many so that outliers can be easily observed,,0,0,0,0,0.0,Improve results output format for self test 1:many $end$ Currently latency results are only reported in aggregate. Need a way to report results for individual nodes in 1:many so that outliers can be easily observed $acceptance criteria:$,0,0,0,0,0,0,1,2241.65,4,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0
8,CART-13,Story,CART,2016-10-11 02:16:28,,0,libfabric support,as topic,,libfabric support $end$ as topic $acceptance criteria:$,13.0,Johann Lombardi,Johann Lombardi,P4-Low,9,13.0,0,1,0,2,0,0,0,,0,772,1,0,0,2016-10-11 02:17:19,libfabric support,as topic,,0,0,0,0,0.0,libfabric support $end$ as topic $acceptance criteria:$,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,CART-131,Story,CART,2016-12-21 13:53:21,CART-118,0,Move self-test client into CART,"This is a tough one - need to get the client itself integrated into CART. This means it'll have to make use of whatever thread(s) it has available from the host application, and will be significantly more restricted in the things it can do. ",,"Move self-test client into CART $end$ This is a tough one - need to get the client itself integrated into CART. This means it'll have to make use of whatever thread(s) it has available from the host application, and will be significantly more restricted in the things it can do.  $acceptance criteria:$",13.0,Byron Marohn,Byron Marohn,P4-Low,11,13.0,0,3,0,4,0,0,0,,0,772,3,0,0,2017-01-30 08:22:40,Move self-test client into CART,"This is a tough one - need to get the client itself integrated into CART. This means it'll have to make use of whatever thread(s) it has available from the host application, and will be significantly more restricted in the things it can do. ",,0,0,0,0,0.0,"Move self-test client into CART $end$ This is a tough one - need to get the client itself integrated into CART. This means it'll have to make use of whatever thread(s) it has available from the host application, and will be significantly more restricted in the things it can do.  $acceptance criteria:$",0,0,0,0,0,0,1,954.483,5,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0
