feature,coefficient,absolute_coefficient
text_log_words,0.16515661563072973,0.16515661563072973
text_log_unique_words,0.16415644140304084,0.16415644140304084
text_log_chars,0.15411597387059203,0.15411597387059203
issue_type=Suggestion,0.13267792155147942,0.13267792155147942
priority=unknown,0.1325403262560553,0.1325403262560553
priority=Major,-0.1108736367145634,0.1108736367145634
num_comments_before_sprint,-0.10096247490344822,0.10096247490344822
original_story_points_sprint,0.08571604368405608,0.08571604368405608
num_changes_text_before_sprint,0.08170646388569415,0.08170646388569415
issue_type=Sub-task,-0.07211569283906037,0.07211569283906037
time_until_add_to_sprint,0.06787611831916479,0.06787611831916479
text_question_marks,0.0642729732375457,0.0642729732375457
project_key=CONFSERVER,0.06215894358595512,0.06215894358595512
issue_type=Improvement,-0.05743345615486938,0.05743345615486938
text_has_url,0.05679135683431306,0.05679135683431306
text_exclamation_marks,0.052941007792847154,0.052941007792847154
priority=Minor,-0.04789656075991052,0.04789656075991052
project_key=JRASERVER,0.046987434865394535,0.046987434865394535
text_has_please,0.0464150686007528,0.0464150686007528
project_key=OFBIZ,-0.04294794603045968,0.04294794603045968
num_changes_story_point_before_sprint,0.0403711334976894,0.0403711334976894
project_key=MESOS,-0.03789056836736602,0.03789056836736602
project_key=MXS,-0.03540813904221828,0.03540813904221828
issue_type=Task,-0.0351941769039508,0.0351941769039508
project_key=JSWSERVER,0.03496275532595627,0.03496275532595627
text_has_tbd_or_todo,0.0334615472624751,0.0334615472624751
text_has_acceptance,0.031062807435031727,0.031062807435031727
issue_type=New Feature,-0.02926824094230575,0.02926824094230575
priority=Medium,-0.023516313750765953,0.023516313750765953
text_newlines,0.022732151442169213,0.022732151442169213
project_key=JSWCLOUD,-0.022478084591190606,0.022478084591190606
project_key=STL,-0.021235406921415487,0.021235406921415487
project_key=MCOL,-0.01847485786684899,0.01847485786684899
num_issues_cretor_prev,0.01696356036864473,0.01696356036864473
priority=Low,-0.0165358082061486,0.0165358082061486
project_key=DATALAB,0.015589809354197773,0.015589809354197773
project_key=MDEV,0.014324172809206037,0.014324172809206037
priority=High,0.013947395325144222,0.013947395325144222
project_key=AURORA,-0.01270991118205131,0.01270991118205131
project_key=INDY,0.01188577840790259,0.01188577840790259
text_has_code,-0.011539742883890489,0.011539742883890489
issue_type=Sub-Task,-0.00989983325400935,0.00989983325400935
issue_type=Technical task,0.00904670024571924,0.00904670024571924
project_key=SLIDER,-0.008929089597352365,0.008929089597352365
project_key=QTBUG,-0.007708580138698808,0.007708580138698808
issue_type=Epic,0.0075775956971685385,0.0075775956971685385
priority=Trivial,-0.006527277449984524,0.006527277449984524
project_key=QSR,0.006195515246483254,0.006195515246483254
project_key=KYLIN,-0.005856728947988358,0.005856728947988358
project_key=SPARK,-0.005772956497561621,0.005772956497561621
priority=Not Evaluated,0.0056390951061871,0.0056390951061871
project_key=FAB,0.005542117605814082,0.005542117605814082
priority=Blocker,0.005498719152561665,0.005498719152561665
project_key=DAOS,0.005230830224125349,0.005230830224125349
project_key=CART,-0.004715210846858272,0.004715210846858272
project_key=GEODE,-0.004597026438541297,0.004597026438541297
project_key=QDS,0.004491676531577449,0.004491676531577449
project_key=IS,-0.00436790214595575,0.00436790214595575
issue_type=Documentation,-0.004130207174819668,0.004130207174819668
project_key=MAHOUT,-0.0038974777140987358,0.0038974777140987358
priority=P2: Important,-0.0038912951263994733,0.0038912951263994733
issue_type=Test Task,0.003722006280994244,0.003722006280994244
project_key=FABJ,0.0033095877598506903,0.0033095877598506903
priority=P2-High,0.003282882140444434,0.003282882140444434
project_key=OAK,-0.0031206460514293173,0.0031206460514293173
project_key=FE,-0.0031047755914531293,0.0031047755914531293
project_key=FLAGON,-0.003063755637298515,0.003063755637298515
project_key=FABC,0.002669165232071107,0.002669165232071107
project_key=AUTOSUITE,-0.002561318893086424,0.002561318893086424
project_key=CWD,-0.0024309787337964614,0.0024309787337964614
priority=P3: Somewhat important,-0.0023896189227159636,0.0023896189227159636
project_key=BAM,-0.0022676742237279866,0.0022676742237279866
issue_type=Story,0.0022362951901454017,0.0022362951901454017
issue_type=User Story,0.002180453328171116,0.002180453328171116
project_key=USERGRID,-0.002107038308467436,0.002107038308467436
project_key=CLOV,-0.0019761982609788646,0.0019761982609788646
project_key=STREAMS,-0.0019351751067756971,0.0019351751067756971
project_key=HDDS,0.001825735120138165,0.001825735120138165
issue_type=Test,-0.0017009172639201359,0.0017009172639201359
project_key=ARIA,-0.0014110481217607545,0.0014110481217607545
priority=P4-Low,-0.0013208050160520752,0.0013208050160520752
priority=P3-Medium,-0.0012220156090574016,0.0012220156090574016
priority=P1: Critical,0.0011019828528450867,0.0011019828528450867
project_key=BSERV,-0.001096168227551412,0.001096168227551412
project_key=MXNET,-0.0010684659295389055,0.0010684659295389055
project_key=CRUC,-0.0010642016189074278,0.0010642016189074278
project_key=CONJ,-0.0009427134659799896,0.0009427134659799896
issue_type=Wish,-0.0008777159988430978,0.0008777159988430978
project_key=FABG,-0.0007841318246391296,0.0007841318246391296
project_key=FABN,0.0007425668095118878,0.0007425668095118878
project_key=FABP,-0.0007272109283825104,0.0007272109283825104
project_key=CONFCLOUD,0.0007076696860227632,0.0007076696860227632
priority=Critical,-0.0007000752623212678,0.0007000752623212678
project_key=GRIFFIN,-0.0006710078987184938,0.0006710078987184938
project_key=IOTDB,-0.0006225870954128298,0.0006225870954128298
project_key=QTIFW,-0.0006144812497363146,0.0006144812497363146
priority=Highest,-0.0005389549435427052,0.0005389549435427052
issue_type=Support Request,-0.0005117971627407763,0.0005117971627407763
priority=P4: Low,-0.000445622256222189,0.000445622256222189
project_key=JSDSERVER,-0.00037247031012606986,0.00037247031012606986
project_key=CONJS,-0.00032783879543349305,0.00032783879543349305
priority=P0: Blocker,-0.00032395952942252206,0.00032395952942252206
project_key=SYSTEMDS,-0.00032052633834875734,0.00032052633834875734
issue_type=Blog - New Blog Request,-0.00028873553114925845,0.00028873553114925845
project_key=SCB,0.00028136707693651297,0.00028136707693651297
project_key=GOBBLIN,-0.00026027756323501803,0.00026027756323501803
project_key=JRACLOUD,-0.0002528321547546014,0.0002528321547546014
priority=Lowest,0.0002310152198578529,0.0002310152198578529
priority=P1-Urgent,-0.000224442138067896,0.000224442138067896
project_key=FABB,-0.00020554870167473872,0.00020554870167473872
issue_type=Dependency upgrade,-0.00018795447353787983,0.00018795447353787983
project_key=HELIX,-0.0001841333978106841,0.0001841333978106841
project_key=FGJ,-0.000182161589707356,0.000182161589707356
project_key=FABCJ,-0.00015300781777003315,0.00015300781777003315
project_key=FABCN,-0.0001500369735854849,0.0001500369735854849
project_key=CE,9.764244048243544e-05,9.764244048243544e-05
project_key=PYSIDE,-9.558014250712545e-05,9.558014250712545e-05
project_key=QTCREATORBUG,-8.867611012876994e-05,8.867611012876994e-05
project_key=FABCT,-8.72112027444238e-05,8.72112027444238e-05
priority=P5: Not important,-7.20268803687681e-05,7.20268803687681e-05
issue_type=Umbrella,-6.924110691871079e-05,6.924110691871079e-05
